2019/07/01 01:00,0,11
2019/07/01 01:15,7,13
2019/07/01 01:30,19,1
2019/07/01 01:45,0,5
2019/07/01 02:00,36,33
2019/07/01 02:15,34,21
2019/07/01 02:30,20,31
2019/07/01 02:45,27,30
2019/07/01 03:00,57,51
2019/07/01 03:15,58,41
2019/07/01 03:30,58,57
2019/07/01 03:45,48,59
2019/07/01 04:00,72,68
2019/07/01 04:15,72,65
2019/07/01 04:30,63,71
2019/07/01 04:45,68,66
2019/07/01 05:00,80,85
2019/07/01 05:15,96,95
2019/07/01 05:30,95,90
2019/07/01 05:45,94,96
2019/07/01 06:00,111,106
2019/07/01 06:15,104,102
2019/07/01 06:30,107,100
2019/07/01 06:45,117,114
2019/07/01 07:00,133,138
2019/07/01 07:15,133,135
2019/07/01 07:30,121,134
2019/07/01 07:45,135,128
2019/07/01 08:00,148,154
2019/07/01 08:15,144,151
2019/07/01 08:30,158,154
2019/07/01 08:45,146,152
2019/07/01 09:00,169,166
2019/07/01 09:15,168,162
2019/07/01 09:30,161,171
2019/07/01 09:45,169,166
2019/07/01 10:00,198,182
2019/07/01 10:15,197,184
2019/07/01 10:30,183,185
2019/07/01 10:45,189,188
2019/07/01 11:00,217,213
2019/07/01 11:15,215,214
2019/07/01 11:30,213,207
2019/07/01 11:45,206,214
2019/07/01 12:00,231,239
2019/07/01 12:15,239,223
2019/07/01 12:30,234,232
2019/07/01 12:45,237,236
2019/07/01 13:00,201,201
2019/07/01 13:15,218,217
2019/07/01 13:30,201,202
2019/07/01 13:45,210,211
2019/07/01 14:00,195,198
2019/07/01 14:15,194,191
2019/07/01 14:30,199,199
2019/07/01 14:45,186,181
2019/07/01 15:00,173,177
2019/07/01 15:15,175,174
2019/07/01 15:30,178,176
2019/07/01 15:45,174,166
2019/07/01 16:00,144,149
2019/07/01 16:15,151,147
2019/07/01 16:30,152,153
2019/07/01 16:45,157,159
2019/07/01 17:00,121,132
2019/07/01 17:15,139,122
2019/07/01 17:30,131,129
2019/07/01 17:45,133,134
2019/07/01 18:00,111,110
2019/07/01 18:15,107,103
2019/07/01 18:30,112,102
2019/07/01 18:45,103,106
2019/07/01 19:00,96,86
2019/07/01 19:15,92,94
2019/07/01 19:30,89,82
2019/07/01 19:45,83,80
2019/07/01 20:00,62,60
2019/07/01 20:15,75,65
2019/07/01 20:30,67,69
2019/07/01 20:45,77,64
2019/07/01 21:00,56,59
2019/07/01 21:15,49,53
